<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.12	14:30:00	19560.65	19581.52	19546.40	19555.90	0	0	0
2025.03.12	15:00:00	19556.02	19579.40	19538.90	19567.22	0	0	0
2025.03.12	15:30:00	19568.72	19759.47	19568.72	19695.90	0	0	0
2025.03.12	16:00:00	19696.27	19707.40	19639.65	19668.52	0	0	0
2025.03.12	16:30:00	19668.65	19747.12	19563.87	19618.25	0	0	0
2025.03.12	17:00:00	19617.62	19698.50	19555.12	19603.62	0	0	0
2025.03.12	17:30:00	19604.12	19617.87	19445.50	19449.12	0	0	0
2025.03.12	18:00:00	19448.87	19517.00	19369.50	19497.87	0	0	0
2025.03.12	18:30:00	19497.62	19611.50	19483.87	19606.75	0	0	0
2025.03.12	19:00:00	19606.62	19676.37	19561.00	19653.25	0	0	0
2025.03.12	19:30:00	19653.75	19701.12	19583.12	19600.00	0	0	0
2025.03.12	20:00:00	19600.62	19678.62	19576.37	19675.37	0	0	0
2025.03.12	20:30:00	19675.12	19693.25	19509.62	19513.37	0	0	0
2025.03.12	21:00:00	19515.12	19614.50	19505.37	19613.25	0	0	0
2025.03.12	21:30:00	19614.12	19680.00	19595.50	19652.75	0	0	0
2025.03.12	22:00:00	19652.25	19652.25	19567.37	19593.12	0	0	0
2025.03.12	22:30:00	19593.25	19621.37	19528.50	19582.37	0	0	0
2025.03.12	23:00:00	19583.62	19583.62	19537.17	19559.05	0	0	0
2025.03.12	23:30:00	19560.17	19568.30	19536.30	19543.92	0	0	0
2025.03.13	01:00:00	19560.70	19613.95	19544.82	19596.57	0	0	0
2025.03.13	01:30:00	19597.07	19610.57	19581.32	19603.57	0	0	0
2025.03.13	02:00:00	19603.70	19635.70	19602.57	19626.82	0	0	0
2025.03.13	02:30:00	19627.57	19663.45	19623.57	19661.07	0	0	0
2025.03.13	03:00:00	19664.45	19670.20	19641.57	19642.45	0	0	0
2025.03.13	03:30:00	19642.70	19649.20	19616.70	19620.32	0	0	0
2025.03.13	04:00:00	19620.20	19632.70	19603.45	19619.07	0	0	0
2025.03.13	04:30:00	19618.07	19621.70	19584.32	19614.95	0	0	0
2025.03.13	05:00:00	19614.45	19620.32	19583.95	19588.20	0	0	0
2025.03.13	05:30:00	19587.82	19591.32	19564.20	19568.32	0	0	0
2025.03.13	06:00:00	19568.57	19568.82	19532.07	19533.70	0	0	0
2025.03.13	06:30:00	19533.32	19536.70	19488.82	19495.57	0	0	0
2025.03.13	07:00:00	19495.45	19520.70	19490.07	19493.95	0	0	0
2025.03.13	07:30:00	19493.82	19493.95	19441.70	19457.95	0	0	0
2025.03.13	08:00:00	19458.32	19480.82	19433.82	19471.70	0	0	0
2025.03.13	08:30:00	19472.20	19473.95	19414.20	19441.20	0	0	0
2025.03.13	09:00:00	19441.45	19450.70	19377.55	19420.05	0	0	0
2025.03.13	09:30:00	19420.30	19475.30	19402.05	19459.92	0	0	0
2025.03.13	10:00:00	19460.17	19488.17	19420.05	19475.92	0	0	0
2025.03.13	10:30:00	19476.05	19485.42	19394.42	19410.05	0	0	0
2025.03.13	11:00:00	19408.05	19443.80	19385.92	19440.67	0	0	0
2025.03.13	11:30:00	19440.42	19471.05	19418.30	19469.17	0	0	0
2025.03.13	12:00:00	19468.55	19534.92	19437.42	19519.42	0	0	0
2025.03.13	12:30:00	19520.05	19585.80	19518.17	19582.92	0	0	0
2025.03.13	13:00:00	19582.55	19607.30	19569.80	19593.92	0	0	0
2025.03.13	13:30:00	19593.42	19596.80	19538.17	19551.55	0	0	0
2025.03.13	14:00:00	19551.67	19569.05	19498.17	19517.30	0	0	0
2025.03.13	14:30:00	19517.42	19535.30	19471.80	19508.17	0	0	0
2025.03.13	15:00:00	19505.42	19515.80	19454.05	19486.30	0	0	0
2025.03.13	15:30:00	19487.55	19564.30	19487.30	19532.17	0	0	0
2025.03.13	16:00:00	19532.42	19566.92	19519.05	19547.92	0	0	0
2025.03.13	16:30:00	19547.80	19552.80	19316.65	19345.27	0	0	0
2025.03.13	17:00:00	19344.02	19546.77	19301.65	19452.27	0	0	0
2025.03.13	17:30:00	19452.02	19508.02	19378.65	19400.27	0	0	0
2025.03.13	18:00:00	19400.65	19451.65	19319.65	19331.90	0	0	0
2025.03.13	18:30:00	19331.77	19367.77	19253.90	19273.27	0	0	0
2025.03.13	19:00:00	19273.40	19331.15	19262.90	19280.02	0	0	0
2025.03.13	19:30:00	19279.40	19367.02	19217.77	19264.77	0	0	0
2025.03.13	20:00:00	19264.65	19288.77	19155.40	19193.90	0	0	0
2025.03.13	20:30:00	19193.27	19203.15	19147.02	19168.27	0	0	0
2025.03.13	21:00:00	19164.40	19304.52	19163.65	19304.40	0	0	0
2025.03.13	21:30:00	19304.52	19353.40	19280.27	19340.02	0	0	0
