direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,SR+BB+FIB,macd,1.5,9,3,122,0.4016393442622951,0.004098360655737705,0.5,1.0068493150684932,-0.021739130434782608,0.019736842105263157,4,10
long,SR+FIB,macd,2.5,14,3,129,0.2868217054263566,0.003875968992248062,0.5,1.0054347826086956,-0.057692307692307696,0.045454545454545456,6,10
short,SR,candle,1.5,9,5,676,0.4038461538461538,0.0031303655091664898,2.116127084196547,1.0051944301796991,0.10465116279069768,-0.07835699444214256,6,10
long,BB,candle,1.5,14,3,909,0.40154015401540155,0.0018827742562615695,1.7114417989417667,1.0031357231169937,-0.001621403769841315,0.005288135982279124,7,10
long,SR+BB+FIB,candle+macd,1.5,9,3,162,0.40123456790123463,0.0016889574759943878,0.2736111111110908,1.0028141651072096,-0.04903143274853828,0.046511627906976744,6,10
long,BB+FIB,candle,2.5,14,3,185,0.2864864864864865,0.0014789789789788693,0.2736111111110908,1.0020692625232397,-0.21211170848267644,0.21739130434782608,6,10
short,FIB,candle+macd,1.5,9,3,185,0.41081081081081083,0.0011026547611898635,0.20399113082012477,1.001792603561823,-0.1836745217346497,0.16161616161616163,4,10
short,SR+BB,candle,1.5,9,5,428,0.4042056074766355,0.0002713249630760448,0.11612708419654716,1.000447703563414,0.10714285714285714,-0.10267831612753876,6,10
long,SR+BB,candle+macd,1.5,14,3,533,0.40150093808630394,0.0002530500443747963,0.13487567365176645,1.0004203500580966,-0.03679626790778182,0.04125624777798686,4,10
long,SR+BB+FIB,macd,1.5,14,5,50,0.4,0.0,0.0,1.0,-0.038461538461538464,0.041666666666666664,5,9
long,SR+FIB,macd,1.5,9,5,75,0.39999999999999997,0.0,0.0,1.0,0.06060606060606061,-0.047619047619047616,5,10
short,SR+FIB,candle,1.5,9,5,120,0.4000000000000001,0.0,0.0,1.0,-0.2391304347826087,0.14864864864864866,4,10
short,SR+BB,candle+macd,1.5,9,5,360,0.39999999999999997,-0.004194725028058332,-1.5101010101009997,0.9930573292776373,0.1016949152542373,-0.10661257382568852,5,10
long,SR+BB,candle,1.5,14,3,641,0.3993759750390016,-0.00435032480664311,-2.7885582010582333,0.9927904842531338,0.016127251104315263,-0.025675698446399123,5,10
long,SR+BB+FIB,candle,2.5,14,3,165,0.28484848484848485,-0.0044023569023570255,-0.7263888888889092,0.9938559496258355,-0.2436914323962519,0.23780487804878048,5,10
long,SR,candle+macd,1.5,9,3,897,0.399108138238573,-0.004456075050791365,-3.9970993205598546,0.9926116067432157,-0.054873794279156875,0.04675473189577315,5,10
short,FIB,candle+macd,2.5,14,5,86,0.2906976744186046,-0.00509199501192242,-0.4379115710253281,0.9930421655232212,-0.4473684210526316,0.34504350893697233,4,10
short,SR+BB,candle+macd,2.5,9,3,500,0.28400000000000003,-0.006301179736294252,-3.150589868147126,0.9912031699590192,-0.01890483686238669,0.005905511811023622,4,10
short,SR+FIB,candle+macd,2.5,14,5,65,0.2923076923076923,-0.006737101092697355,-0.4379115710253281,0.9908650260999269,-0.5227272727272727,0.25725787044127146,3,10
long,SR,candle,1.5,14,3,970,0.3979381443298969,-0.007134570304401915,-6.920533195269858,0.9881886146615663,-0.02939336547291097,0.015032624883989822,6,10
