symbol,tf,direction,detector,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,wbottom,SR,self,2.5,744,0.25268817204301075,-0.17843341965765325,-132.75446422529402,0.7797536607283031,470.0,602.754464225294,-103.47899441321911,-29.275469812074903,371,373
US100,M15,long,wbottom,SR,candle,1.5,690,0.40869565217391307,0.002153965050216609,1.48623588464946,1.003525948643145,423.0,421.51376411535057,26.965838509317017,-25.479602624667557,354,336
US100,M15,long,wbottom,SR,candle,2.5,668,0.3083832335329341,0.050216655694902225,33.544726004194686,1.0696736079465752,515.0,481.4552739958053,45.57292347663746,-12.028197472442772,337,331
US100,M15,long,wbottom,BB,self,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,BB,self,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,BB,candle,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,BB,candle,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,SR+BB,self,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,SR+BB,self,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,SR+BB,candle,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,wbottom,SR+BB,candle,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
US100,M15,long,failswing,none,self,1.5,824,0.3191747572815534,-0.21309454773525957,-175.5899073338539,0.6919961131130399,394.5,570.089907333854,-117.92243727284622,-57.66747006100765,414,410
US100,M15,long,failswing,none,self,2.5,806,0.24441687344913152,-0.1558187435903894,-125.58990733385387,0.796809645581192,492.5,618.089907333854,-95.92243727284622,-29.66747006100765,402,404
US100,M15,long,failswing,none,candle,1.5,729,0.39780521262002744,-0.010196583275577063,-7.433309207895679,0.9831990289763586,435.0,442.43330920789566,-36.49752379148517,29.064214583589493,369,360
US100,M15,long,failswing,none,candle,2.5,689,0.2960812772133527,0.030949248275683284,21.324032061945783,1.043636342814077,510.0,488.6759679380542,-27.74018252164372,49.06421458358949,347,342
US100,M15,long,failswing,SR,self,1.5,620,0.3370967741935484,-0.168579732529316,-104.51943416817592,0.7499651317021637,313.5,418.0194341681759,-74.5123919146549,-30.007042253521025,305,315
US100,M15,long,failswing,SR,self,2.5,610,0.2459016393442623,-0.1508515314232392,-92.01943416817592,0.8029644433703816,375.0,467.01943416817596,-71.5123919146549,-20.507042253521025,299,311
US100,M15,long,failswing,SR,candle,1.5,553,0.4014466546112116,0.0014378053272041844,0.795106345943914,1.002393421533314,333.0,332.2048936540561,-25.848025616562957,26.64313196250687,275,278
US100,M15,long,failswing,SR,candle,2.5,534,0.2902621722846442,0.013465658991572312,7.190661901499615,1.0189074029511134,387.5,380.3093380985004,-10.452470061007256,17.64313196250687,265,269
US100,M15,long,failswing,BB,self,1.5,149,0.33557046979865773,-0.1610738255033557,-24.0,0.7575757575757576,75.0,99.0,-16.5,-7.5,69,80
US100,M15,long,failswing,BB,self,2.5,149,0.2483221476510067,-0.13087248322147652,-19.5,0.8258928571428571,92.5,112.0,-16.5,-3.0,69,80
US100,M15,long,failswing,BB,candle,1.5,138,0.4057971014492754,0.014314356982728633,1.9753812636165513,1.0240827850717011,84.0,82.02461873638345,-5.5,7.475381263616551,68,70
US100,M15,long,failswing,BB,candle,2.5,137,0.3284671532846715,0.14945533769063177,20.47538126361655,1.222498952397412,112.5,92.02461873638345,-7.5,27.97538126361655,67,70
US100,M15,long,failswing,SR+BB,self,1.5,95,0.3473684210526316,-0.13157894736842105,-12.5,0.7983870967741935,49.5,62.0,-15.5,3.0,48,47
US100,M15,long,failswing,SR+BB,self,2.5,95,0.25263157894736843,-0.11578947368421053,-11.0,0.8450704225352113,60.0,71.0,-20.0,9.0,48,47
US100,M15,long,failswing,SR+BB,candle,1.5,85,0.43529411764705883,0.08823529411764706,7.5,1.15625,55.5,48.0,0.0,7.5,45,40
US100,M15,long,failswing,SR+BB,candle,2.5,85,0.3411764705882353,0.19411764705882353,16.5,1.2946428571428572,72.5,56.0,-3.0,19.5,45,40
US100,M15,long,keyrev,none,self,1.5,253,0.3952569169960474,-0.012960484165081413,-3.2790024937655975,0.9786076211325881,150.0,153.2790024937656,-3.5,0.2209975062344025,126,127
US100,M15,long,keyrev,none,self,2.5,248,0.29838709677419356,0.03804562053279474,9.435313892133095,1.0541391318352917,183.7143163858987,174.2790024937656,7.586430062630484,1.848883829502613,125,123
US100,M15,long,keyrev,none,candle,1.5,253,0.3952569169960474,-0.012960484165081413,-3.2790024937655975,0.9786076211325881,150.0,153.2790024937656,-3.5,0.2209975062344025,126,127
US100,M15,long,keyrev,none,candle,2.5,248,0.29838709677419356,0.03804562053279474,9.435313892133095,1.0541391318352917,183.7143163858987,174.2790024937656,7.586430062630484,1.848883829502613,125,123
US100,M15,long,keyrev,SR,self,1.5,201,0.40298507462686567,0.006074614458877624,1.2209975062344025,1.010151377056005,121.5,120.2790024937656,-0.5,1.7209975062344025,103,98
