direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,major,1,none,False,next_open,2.5,1518,0.25691699604743085,-0.11575605288583968,-175.71768828070464,0.8472973083926035,0.0026052001438951903,-0.18000556026209136,-0.0574794896626566,2
short,piv3,2,1.0,False,next_open,3.5,5372,0.19936708860759494,-0.11588290405447033,-622.5229605806146,0.8573289977835843,0.0018219338543281301,-0.17180436684291833,-0.062445030075702235,2
short,piv3,2,none,False,next_open,3.5,5440,0.19926470588235295,-0.11646880880239395,-633.5903198850231,0.8565142718712299,0.0019074502337888704,-0.16153915403398075,-0.07308941447415672,2
short,piv3,2,1.0,False,next_open,2.5,5573,0.25426161851785395,-0.11670062960402611,-650.3726087832375,0.8448503648345276,0.0018196695010612456,-0.12162434545246865,-0.11188698973090366,0
short,piv3,1,none,False,next_open,2.5,5048,0.25416006339144215,-0.11785766348156837,-594.9454852549571,0.8434962857795596,0.0017598580696021743,-0.12121111102113395,-0.1146011136842628,0
long,piv3,2,none,True,break,1.5,1102,0.3566243194192377,-0.11796295175218696,-129.99517283091004,0.8193244684054879,0.004306340693777043,-0.19684006075653893,-0.045670366629937426,1
long,major,1,none,False,next_open,1.5,1532,0.35704960835509136,-0.11823159808113844,-181.1308082603041,0.819164100418493,0.0026002316834911844,-0.1584512199845923,-0.08209872834135645,2
long,piv3,2,1.0,True,break,1.5,1049,0.3565300285986654,-0.11867985970534799,-124.49517283091004,0.8183865069147335,0.004081206722029724,-0.2000692854664591,-0.0442709138909015,1
short,piv3,1,1.0,False,next_open,2.5,4982,0.2539140907266158,-0.11881647923337443,-591.9436995406714,0.8422945540165877,0.0017146933188129326,-0.12508246249369803,-0.11275342276110244,0
short,piv5,1,none,False,next_open,2.5,3238,0.2547869054972205,-0.11901221019054434,-385.36153659698255,0.8425099455009756,0.001877450793499723,-0.13778212628580674,-0.1001493161827357,0
long,major,1,1.0,False,next_open,2.5,1433,0.25610607117934403,-0.11948198763482529,-171.21768828070464,0.8427345397950773,0.002415900238680985,-0.2037595520663196,-0.042947634848834425,1
short,piv5,2,none,False,next_open,3.5,3578,0.19815539407490218,-0.11956541288900852,-427.80504731687245,0.8525147073492461,0.002020441740547023,-0.15702285647765454,-0.0822333848480923,1
long,major,2,1.0,False,break,1.5,1062,0.3549905838041431,-0.12007589852100184,-127.52060422930396,0.8159930549667894,0.004002297794605555,-0.14870560142496397,-0.09342424781767708,1
long,piv5,2,none,False,break,1.5,2216,0.35333935018050544,-0.12334818071154484,-273.33956845678335,0.8112086626088488,0.004123334321647714,-0.1290403008001423,-0.11763547429351298,2
long,piv3,1,none,True,break,1.5,1039,0.35418671799807505,-0.12463443005862371,-129.49517283091004,0.8099837269675865,0.004214217772206448,-0.20027050606163863,-0.05501009392276159,1
short,piv3,2,none,True,next_open,3.5,2262,0.1989389920424403,-0.12467445363509784,-282.0136141225913,0.847776243401778,0.0022182788701914837,-0.18997748086883912,-0.061193306847284835,0
short,piv3,1,none,True,next_open,3.5,2113,0.19876952200662565,-0.12474811976019869,-263.5927770532998,0.847670532895576,0.0021677438091088977,-0.19774016661170365,-0.054134770897336794,0
long,piv3,2,1.0,True,next_open,2.5,1466,0.25852660300136426,-0.12497124108307195,-183.20783942778348,0.837845595379809,0.002852740182332737,-0.2293527293021842,-0.026672912442292095,0
long,piv3,1,1.0,True,break,1.5,1001,0.35364635364635366,-0.12636880402688316,-126.49517283091004,0.8076104919732373,0.004058188901641527,-0.20007292440902524,-0.05954373488040766,1
long,major,1,none,True,next_open,2.5,832,0.2548076923076923,-0.12741376633351034,-106.0082535894806,0.8333225190220489,0.002957745794199669,-0.1765429977828508,-0.08300633744909507,1
short,piv3,1,1.0,True,next_open,3.5,2073,0.19778099372889532,-0.12956632481380326,-268.5909913390141,0.8420434384530197,0.0020912375988099076,-0.21058270975350402,-0.05169248649901043,0
short,piv3,2,1.0,True,next_open,3.5,2211,0.19764812302125734,-0.13094157775138202,-289.51182840830563,0.840456274686132,0.0021267802159278945,-0.2036959514864606,-0.060327038537923365,0
long,piv3,2,none,True,next_open,2.5,1532,0.2565274151436031,-0.13224559335718056,-202.6002490232006,0.8285715648894868,0.003022980347510905,-0.2295690316740955,-0.040596271849616776,0
