direction,k,tol,bottoms,entry,tp,trades,avg_r,net05,winrate,pf,h1_avg_r,h2_avg_r,pos_ds,n_ds
short,5,0.5,2,touch,3.5R,547,-0.07713330231254986,-0.18560477389290228,0.2340036563071298,0.9090490203377183,-0.19688082218181305,0.03622200119358535,3,12
short,3,1.0,2,confirm,3.5R,873,-0.08662675571883903,-0.18798807387429828,0.24054982817869416,0.8922872454055616,-0.1048213261991584,-0.07014040910457586,4,12
short,3,1.0,3,confirm,2.5R,222,-0.10877779537876167,-0.20073733141868985,0.27927927927927926,0.8715469519573442,-0.08741325217951311,-0.13391255208375996,1,9
short,3,1.0,3,touch,3.5R,296,-0.1008593913346658,-0.20559875405602343,0.23648648648648649,0.8941378723548747,-0.13791659818656105,-0.06174345076877644,2,10
short,3,0.5,2,confirm,3.5R,668,-0.10776582854531402,-0.21443835212927406,0.23502994011976047,0.8661836842151116,-0.20451155940260385,-0.025986288096886734,4,12
short,5,1.0,2,confirm,3.5R,585,-0.13044716616387583,-0.21787019839672953,0.2376068376068376,0.842346227587083,-0.25037120612290503,-0.011746840898306108,4,12
short,5,1.0,3,touch,2.5R,128,-0.1330615335062098,-0.2227529842497202,0.265625,0.8482005288945418,-0.1863780990489363,-0.07450071561501845,1,7
short,5,0.5,2,confirm,3.5R,424,-0.1378063827797844,-0.23192102826685976,0.2358490566037736,0.8283487804624701,-0.32326656027393336,0.04078489925161826,1,11
long,5,0.5,3,confirm,2.5R,26,-0.1525727492336726,-0.234826924061187,0.3076923076923077,0.7938653647313741,-0.4795050176368149,-0.007269518832276025,1,3
short,5,1.0,3,confirm,2.5R,95,-0.17146451270175794,-0.25091576102751373,0.25263157894736843,0.7849385085268116,-0.20367741958356528,-0.13567239394419425,1,6
long,5,0.5,3,touch,1.5R,35,-0.15867273071092858,-0.2527068812325046,0.34285714285714286,0.7679295787065401,-0.21550822762343314,-0.13899890485660002,0,3
short,3,0.5,3,confirm,3.5R,108,-0.16341884659786848,-0.2669356394138893,0.23148148148148145,0.8330701803221319,-0.5082787300863597,0.22201278788926884,1,6
