symbol,tf,direction,level,closeback,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M30,long,PD,1,False,next_open,3.5,108,0.2222222222222222,-0.058724514551563106,-6.342247571568816,0.929797544979778,84.0,90.34224757156882,0.0026608885160444547,-3.342247571568816,-3.0,51,57
US100,M30,long,PD,1,False,break,1.5,71,0.36619718309859156,-0.1153528740007616,-8.190054054054073,0.8264453343352237,39.0,47.19005405405407,0.004095767462647469,1.3099459459459273,-9.5,34,37
US100,M30,long,PD,1,False,break,2.5,71,0.30985915492957744,0.05366121050628066,3.809945945945927,1.074427464794681,55.0,51.19005405405407,0.004095767462647469,9.309945945945927,-5.5,34,37
US100,M30,long,PD,1,False,break,3.5,70,0.2714285714285714,0.19014208494208468,13.309945945945927,1.2502337360368119,66.5,53.19005405405407,0.004078486314853745,9.809945945945927,3.5,33,37
US100,M30,long,PD,2,False,next_open,1.5,142,0.3732394366197183,-0.08136572242443448,-11.553932584269695,0.8731089118685059,79.5,91.05393258426969,0.003144390970784259,1.9460674157303046,-13.5,71,71
US100,M30,long,PD,2,False,next_open,2.5,139,0.2733812949640288,-0.05794196103791148,-8.053932584269695,0.9218474018186177,95.0,103.05393258426969,0.0031664888871664578,2.446067415730304,-10.5,69,70
US100,M30,long,PD,2,False,next_open,3.5,137,0.22627737226277372,0.003255966538177406,0.4460674157303046,1.0041281923300889,108.5,108.05393258426969,0.003181088480266211,1.9460674157303046,-1.5,68,69
US100,M30,long,PD,2,False,break,1.5,96,0.3854166666666667,-0.05927139639639659,-5.690054054054073,0.9070101482664553,55.5,61.19005405405407,0.004345209291685158,1.3099459459459268,-7.0,49,47
US100,M30,long,PD,2,False,break,2.5,95,0.30526315789473685,0.06842105263157895,6.5,1.0984848484848484,72.5,66.0,0.004368528053450957,8.0,-1.5,48,47
US100,M30,long,PD,2,False,break,3.5,94,0.2765957446808511,0.24468085106382978,23.0,1.338235294117647,91.0,68.0,0.004358560822017368,11.5,11.5,47,47
US100,M30,long,PD,1,True,next_open,1.5,49,0.3469387755102041,-0.1326530612244898,-6.5,0.796875,25.5,32.0,0.002937951243114261,-1.0,-5.5,21,28
US100,M30,long,PD,1,True,next_open,2.5,49,0.22448979591836735,-0.3018023466795739,-14.78831498729912,0.6502978425188933,27.5,42.28831498729912,0.002937951243114261,-7.78831498729912,-7.0,21,28
US100,M30,long,PD,1,True,next_open,3.5,49,0.1836734693877551,-0.26098602014896166,-12.78831498729912,0.7112485541396977,31.5,44.28831498729912,0.002937951243114261,-11.78831498729912,-1.0,21,28
